f1(x),f2(x)
278988.31885098154,0.6625000000001707
278988.32137022074,0.6625
278988.31578004814,0.6625158876982951
278988.3189487234,0.6625000000001695
278988.3159304103,0.6625000000022037
278988.3207881709,0.6625000000001117
278988.3207262599,0.6625000000001269
278988.3187019549,0.6625000000001783
278988.31873548694,0.6625000000001771
278988.3168715623,0.662500000002178
278988.3169042545,0.6625000000015431
278988.32052662765,0.662500000000133
278988.32051670755,0.6625000000001353
278988.320519382,0.6625000000001348
278988.32136587874,0.6625000000000004
278988.32136587874,0.6625000000000004
278988.3158634315,0.6625000000028626
278988.3211736504,0.6625000000000014
278988.3211287042,0.6625000000000195
278988.32113816944,0.6625000000000169
278988.32113816944,0.6625000000000169
278988.3158497566,0.6625000012152702
278988.3158493618,0.6625000054830994
278988.31578069914,0.6625011449935402
278988.3157841884,0.6625010437497104
278988.31578414724,0.6625010531581926
278988.31578039925,0.662502706256801
278988.31578039925,0.662502706256801
278988.31578039925,0.662502706256801
278988.31578034925,0.6625035929923583
278988.31578034925,0.6625035929923583
278988.3157802852,0.6625046842202869
278988.31578028155,0.6625047749936833
278988.31578028155,0.6625047749936833
278988.31578026013,0.6625047926758593
278988.31578008307,0.6625052469921807
278988.31578004826,0.6625158863797129
278988.31578004826,0.6625158863797129
278988.31578004826,0.6625158863797129
278988.31578004826,0.6625158863797129
278988.3157800492,0.6625158717930927
278988.31578004954,0.66251578080493
278988.31578004966,0.6625157693890579
278988.3157800497,0.6625157687211545
278988.3157800497,0.6625157687211545
278988.3157800545,0.6625156510191238
278988.3157800546,0.66251561899472
278988.31578005495,0.6625155678039143
278988.3157800551,0.6625155602249605
278988.3157800555,0.6625155525596756
278988.3157800555,0.6625155525596756
278988.31578005606,0.6625155141081682
278988.3157800563,0.662515508018623
278988.3157800563,0.662515508018623
278988.3157800565,0.6625139757781521
278988.3157800667,0.662513970813288
278988.31578006776,0.6625139394080285
278988.31578006776,0.6625139394080285
278988.31578006776,0.6625139394080285
278988.31578006805,0.66251391140836
