f1(x),f2(x)
278988.3157800458,0.6625000008648045
278988.31578004616,0.6625000000000587
278988.3157800459,0.6625000007880024
278988.3157800467,0.6625
278988.3157800458,0.6625000008648045
278988.3157800467,0.6625
278988.3157800467,0.6625
278988.31578004657,0.6625000000000035
278988.31578004657,0.6625000000000035
278988.31578004657,0.6625000000000035
278988.31578004657,0.6625000000000035
278988.31578004657,0.6625000000000035
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
278988.3157800466,0.6625000000000001
