f1(x),f2(x)
1510044.6310960748,276.47200516325375
2834140.090936185,153.72963857712793
2934079.1881791614,145.10856267954736
2616361.75557981,162.80314712904428
2551644.882643569,163.66150010642053
2527060.303579272,165.1805684260481
2529231.0578705072,164.74592381709718
2581215.5846119546,163.48216707482058
2581392.739554146,163.45067868536077
2890266.694992934,147.80574561915978
2888036.4746170696,152.01078851298112
3007778.592732886,144.38699396429587
3014890.5063097663,144.05453170537322
3014591.4049870516,144.29331885853082
2706162.5409032633,162.60190024525318
2872266.550618461,153.18907658003968
2708374.0482632755,162.02715287778196
2745348.807209912,161.0220895514333
2860925.905652366,153.25626835583972
2815592.6570425914,159.812652988131
2857550.82248225,153.27403885427088
2854575.5948218596,153.3610727758683
2854575.5948218596,153.3610727758683
1520822.6367767563,270.3518295038708
1520789.182018458,270.99752844347427
1519538.9875690956,272.04199390173903
1516041.3804384025,273.6411122309678
1516626.179014666,272.6747069533668
2819606.4840479977,159.73715186423647
2738524.4685456078,161.4988440364157
2721494.21395152,161.98829068522784
2820602.495590694,159.65091607415755
2722436.1608167184,161.96331412673183
2737069.4549652846,161.61237211335322
2737069.4549652846,161.61237211335322
2724494.5515724854,161.74195347170624
2841588.3442710256,153.47512780239842
2840349.787411174,153.51889178373258
2731039.0742606875,161.63458017711415
2830790.0485573197,154.33018719471337
2826405.484827283,154.47490228164784
2827877.6939396076,154.46489133788938
