c
-1911.2216564397154
-1942.9147309501636
-1939.7999351971737
-1946.0
-1945.9918910877361
-1943.9525707618711
-1944.129667879674
-1945.882706642039
-1945.885605321122
-1938.801624208692
-1938.8158971013697
-1940.4835615786415
-1940.4884280768817
-1940.359302052287
-1945.3653647868673
-1941.7348550618417
-1945.344103043228
-1944.7239621312838
-1942.7599941177853
-1940.1065407757162
-1942.7650902128987
-1942.9002090466395
-1942.9002090466395
-1916.9710102085417
-1916.6689556691736
-1914.5986194268603
-1915.3968339929297
-1914.4486128856893
-1940.109093300786
-1946.0
-1944.9454521353266
-1940.0722111721254
-1944.9347880233722
-1946.0
-1946.0
-1945.1194063237047
-1943.1129094441394
-1942.919301267758
-1945.8545714589857
-1941.060644546923
-1941.1693445897101
-1940.4507142758812
