Q,Qw,Qr,Qef,Qr_p,V_a,A_s,h3,h4,r_p,X_I,X_Ir,X_Ief,S_Sent,S_S,S_Oent,S_NOent,S_NO,X_BHent,X_BH,X_BHr,X_BHef,X_Sent,X_S,X_Sr,X_Sef,X_BAent,X_BA,X_BAr,X_BAef,S_NHent,S_NH,X_Pent,X_P,X_Pr,X_Pef,S_NDent,S_ND,X_NDent,X_ND,X_NDr,X_NDef,G_s,S_alkent,S_alk,SSI,SSIef,SSIr,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,v_dn,v_up,v_s1,v_s2,v_s3,v_s4,v_s5,v_s6,v_s7,v_s8,v_s9,v_s10,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,HRT,KLa,r,Sent,S,Xent,X,Xr,Xef,CODent,COD,CODr,CODef,VSSent,VSS,VSSr,VSSef,TSSent,TSS,TSSr,TSSef,BODent,BOD,BODr,BODef,TKNent,TKN,TKNr,TKNef,Nent,N,Nr,Nef,h,S_O
2534.453602255235,102.17426890210696,2009.569583030162,265.0,101.96909906024456,100.00000007417074,26.99995014129653,0.2000015828800598,0.2000000020013352,0.5647153030794859,478.2319809903086,2001.6025225062008,3.8149235878828023,34.91536652772623,21.151117054219196,0.015115567514789,8.032883043717103,0.0,55.09033265533208,103.38469778978316,410.0540264494777,4.234102969312475,2755.8665929217864,394.358950643896,955.9772265495346,20.052189425244396,2.3129584412128623,0.9933025013499228,4.31804139254209,3.024040038647552,11.891866807826707,8.12951177189065,1616.491466934474,9.558894784080213,102.63497432573912,0.517316413667366,1.0537410511033178,0.1701010793253572,179.9722254853855,1.018324684165934,86.33688908588638,0.0680057482357045,100.00000033233732,7.10543062905939,6.9715458892680005,1207.38663953887,0.100091600107034,3335.235178294874,0.1000000000001839,323.36344962531166,123.74320065486911,873.4505899786493,34.72287374419483,1.526721379593862,0.4973501363488449,12.131685124751352,1207.3015659731425,2881.815929921218,0.3258324909509069,1.4760872661271254,115.43593099008122,38.0747585835568,217.74421629708965,122.17148651929088,122.8412549005254,18.29102496532919,0.0362031154539131,42.11763699600608,912.6888352879056,65.15105199363163,371.05059197557233,678.8165187690238,0.1300188336932714,25.620426351571215,980.1059048942096,51.31972063113271,0.0178247194566165,4377.238865863786,5633.696281055775,24327.80045904012,1.9362008519519256,113.58325686837291,0.88852922519086,4.756419510968469,34.60222906866353,4764.989818387453,1664.8161547161671,4077.2836319256257,7.727098853336495,5109.841444967436,1978.846507925598,5387.931024196335,0.1,3683.543299467556,1056.5718809236555,3601.740863052192,2.387196730877502,4945.195593345968,1514.0721716136595,3873.8175678757048,0.1,2153.153918817201,496.4433698681508,1882.2841645240096,0.1,249.85235481503227,127.81199154220752,332.917018290916,0.1000000000000322,303.4032469915435,164.6682440398003,340.55988140243915,14.978545706031358,3.4596736290220327,2.688623732346833
2428.3328383821754,102.58720653633075,2008.1086353078751,265.0,101.96899884071138,100.00000087012884,26.99995086093811,0.2000025750868521,0.2000000011632651,0.5647043809121542,467.9904302160687,1995.7710716781023,3.811237924846436,34.91532465163637,21.131777412096596,0.0142514244711121,8.018218419878387,1.085505530234065e-20,55.107552162801234,103.6714010841086,410.1523750713395,4.230229191256206,2739.80269292907,394.5315533758121,955.9477845199413,20.052017633747404,2.313593941833621,0.9933025710303696,8.384200831384298,3.0762362700788044,11.891835706296526,8.129765766930843,1616.864569492495,9.558818785668908,102.6354368759025,0.5195451433652616,1.0561347463601023,0.1701011790625363,180.84099754767868,1.0183246116008358,86.44076522211547,0.0349055894669758,100.00000043191912,7.0971099333776815,6.971547798182198,1191.3505094697252,0.1000008890627267,3300.453195168241,0.1000000000001809,323.3637882810318,123.76298010917527,960.6332974263772,39.527016563249035,63.40673642680272,0.1431574941608761,11.681993140175797,1206.7206173048976,2882.4004973208057,15.316589140695555,1.4760873010818505,115.4366112954452,38.07530305035647,218.21099248273535,128.40413017044938,122.84586570828976,21.68628275102893,0.0362414181166442,51.8062154965018,910.0417598531868,65.12672450394615,417.444164215532,678.8273770021015,0.0935246590140153,25.618331443940097,980.1426623503136,51.3128412506444,0.0252562749783755,4182.871043639131,5633.696687989527,24370.90587040847,1.93620085204658,113.56876070347336,0.8879505214080492,4.699476578052339,34.520983752868375,4770.84250323421,1667.4491952807605,4077.283631873396,7.727098801376271,5106.894788966482,1974.5832790843044,5387.931022762782,0.1,3682.483631904868,1056.5718916080386,3601.438969753317,2.384257883736039,4953.629360393195,1513.662181451522,3830.482352709624,0.1,2160.2384298990073,498.06977978374533,1880.7605980914473,0.1,249.990740475725,127.811998189701,332.87789846135587,0.1,303.4038211027737,167.54541297967037,340.51960208642527,14.978545333946409,3.4596736281891656,2.688347999261127
2534.477422449806,106.80997840259884,1983.8100070504188,265.00131864996325,101.9677960317914,100.0000000000001,26.99995000000259,0.2,0.2,0.5646244593175421,471.65660139902366,1595.4124724658905,3.7789787599662823,34.914786817747846,21.05609195634967,0.0169480264329758,8.014307528729132,7.523184649952541e-13,55.08216480515309,105.84953409862842,409.35377545644457,4.261846145193319,1809.1172587323297,393.72887503246176,955.7967981635596,20.048214791878408,2.3256741663743705,0.9933126723165956,48.22926372284506,6.352238438091146,11.892094786721817,8.129024671605604,1618.1873817217136,9.55850389189896,102.63503254568582,0.5215944392968547,1.0650896384256467,0.1701007563014031,181.48838690651627,1.0183269682913862,88.82067259489497,0.0153735215359175,100.0,7.1156226852504645,6.971533214320641,1243.8962504712829,0.1083729780446342,3319.7633895371378,0.1000000000001432,323.3680691956841,123.67441552781052,280.61866363628377,34.48053845050713,49.91549607447388,0.1405731095235636,14.618541811102396,1215.4784376977116,2877.958393713825,8.831836094547239,1.4760879838350829,115.4362202425271,38.209032822167686,220.287791286662,127.9402751801081,122.71166018934832,38.405052055254274,0.0329333118430983,505.0151393922589,886.318571188795,65.2365761915197,195.66107013438997,707.6227850284736,0.7431942582507104,25.63361866095619,980.4569661619668,51.288532405567395,0.0764017752811417,4169.356883105987,5633.689952129464,24659.2170915164,1.936200851111,113.6847894257604,0.8953640497662156,4.696375996716203,32.793548383570645,4691.581679388379,1727.3522247465753,4077.283631630087,7.727099493467391,5071.064385623339,1962.6039903408443,5387.930592313039,0.1000004982547146,3701.820018780734,1056.5715617032763,3602.2849970174125,2.5110952968924463,4905.314826420659,1516.7135866414535,3870.92708212245,0.1000120937683816,2170.0853016701535,531.0397808786864,1925.3298531581631,0.1000114137205086,249.9814384317195,127.81195384100786,333.5519923624951,0.1000000000000254,303.4233754269533,160.09702198029936,340.5252567730196,14.978545626549526,3.45967290219165,2.6999387585824977
2534.5527106630375,102.16342906547484,2009.505461609621,265.0,101.9691029802626,100.00000007821576,26.999950142646117,0.2000016367472159,0.2000000020188176,0.56471586005565,478.1209412369601,2002.56694210899,3.8149725152855143,34.91533075339074,21.15119063498177,0.0149224839875397,8.033270121368217,0.0,55.09044997713448,103.38426266521869,410.0493649957593,4.2342131150592515,2753.0351021309502,394.3594215481751,955.9775687588452,20.05219024630599,2.312943688748736,0.9933025453313898,4.396114231769805,3.012172644003035,11.891864919055312,8.129511196037862,1616.49943142527,9.558894827629512,102.63497390440662,0.5174214257493174,1.0537170639798437,0.1701010792371692,179.9778030350268,1.0183245985912133,86.32930552899856,0.0691213867324468,100.00000034094477,7.10530265673799,6.971545898072853,1207.3927227029396,0.1000369131686375,3335.550264531222,0.1000000000001838,323.36344304471305,123.73662558947775,874.909571817763,34.82042133121897,1.3903560789304497,0.4903507532664533,12.13190269769012,1206.811608663501,2881.838411725323,0.01,1.4760872673256005,115.43591722766335,38.07428182567098,217.8437840386573,121.7942130260302,122.84065709317026,18.292065818896884,0.0361952525079138,42.10082673082821,912.8194025075114,65.15097931497317,371.3395599921497,678.9979624086743,0.1301364878161331,25.620734367819928,980.105936254246,51.31968917196058,0.0176988903936843,4389.656748746527,5633.696270172057,24327.382315730956,1.9362008519620308,113.58304860962272,0.8885178706927911,4.757279106078977,34.60142866015257,4766.08803119898,1664.8352371857588,4077.283631980688,7.72709886978949,5109.639370237984,1979.1049363424577,5387.931024211377,0.1,3683.63826694409,1056.57188013773,3601.751698224131,2.386631314229515,4945.128234510881,1514.1129872592976,3873.105404190092,0.1,2166.982906450303,496.4403054025089,1882.247584612342,0.1,249.85466052136968,127.8119915162102,332.9196911927077,0.1000000000000319,303.4032450525028,164.66085005975145,340.55967572724614,14.978545712372412,3.459673629580772,2.6886316880936483
2537.682348310251,101.936358576498,2004.736988500178,265.0,101.96899569311311,100.00000009728888,26.999950072977676,0.2,0.2,0.564697428204238,488.2632328374151,2039.4305035214,3.8074538754180822,34.91639359007615,21.13760863513117,0.0017095917374843,8.014893441722219,3.9311607000647594e-13,55.09771343066448,103.4774975414105,410.40062869394694,4.236158534947668,2836.3201786199015,394.51310697186005,955.9149349146091,20.052529282937993,2.312461845155703,0.9933101132778684,2.8058229365636116,2.2271194255371243,11.89177945098618,8.129553117823294,1616.8521726998829,9.558900637797992,102.63485276693648,0.5205863887232475,1.052412366960396,0.1701011372490135,181.2254053922834,1.0183211815855469,85.70862433260197,0.0095732109576009,100.00000004072264,7.111107880769417,6.971547112396971,1210.7762787435524,0.1008772829961048,3311.6008808293905,0.10000000000019,323.3637261707281,123.80878483439103,946.4315332199272,42.405027210263896,48.55461436092493,3.014010503100363,12.39086431156831,1219.929081184771,2881.4436563170534,20.685797781212436,1.4760873621458248,115.43656796024776,38.1084741227743,215.005645112855,129.9220299199957,122.85386663571812,20.340449848371673,0.03696703567009,53.60271675015317,920.4263799255132,65.16669332090143,383.201676349877,672.4298603330496,0.01,25.613438342277323,980.1034147988928,51.311550651583026,0.0279249598823859,4241.510824180341,5633.695209159919,24359.820411608987,1.9362008523243908,113.59322178542558,0.8873018987933636,4.715914885176291,34.67302946395953,4803.104799724935,1660.1511679540413,4077.28363339571,7.727098225189061,5112.979907365843,1992.7476732900627,5387.931029073736,0.1000000000000001,3681.240000693519,1056.5718432950468,3602.030751744024,2.375597095616174,4947.355780479927,1513.209431507304,3819.080883846543,0.1,2016.5528210147756,497.8613717577368,1881.0096427787116,0.1000000000000002,250.00616364696472,127.8119910573792,332.81775952773756,0.1000000000000226,303.4056003410259,159.5128527344162,340.49930779237314,14.978545875688278,3.4596736137597555,2.6880019324628126
2545.470387884907,102.07049458782966,2008.7616841612169,265.0,101.96903368141888,100.00000073414448,26.999950150737444,0.2000026792864101,0.2000000000418458,0.5647088486640515,471.7718993376384,1996.553524980462,3.816612600216431,34.915235792751545,21.13762274434512,0.0153011470741219,8.020363211363597,4.49120541925875e-18,55.08346467566287,103.67139811174988,410.19334944348327,4.237629586304574,2737.3456349372573,394.5620448225991,955.9200538109806,20.052232059704203,2.3125451122602136,0.9933123003256418,8.98154736079582,3.173498029558792,11.891872843050962,8.129806131970332,1616.9356198792686,9.558811983941688,102.63529531042462,0.5181170335767449,1.0522859391517323,0.1701011288155862,169.67761217034516,1.0183251163657696,86.33840358699857,0.0013670219388257,100.00000038463769,7.101127688116689,6.971548468094897,1195.1902672765996,0.1000354235378142,3294.157219096237,0.1000000000001787,323.36309738171457,123.81304996950055,828.804426630343,41.10173624836516,51.37579441411347,0.2572664906271248,11.76449927526056,1199.630487875682,2882.040489507787,11.314284954693424,1.4760872632083837,115.43626364347588,38.072053693136155,218.1749475926961,129.23270688148784,122.8394334791212,21.082555896914272,0.0363281072799724,2.737301289953744,910.5487289601958,65.13969413967058,393.7212709403016,681.5822175929052,0.1666861231625188,25.619197594840394,980.1315129079384,51.31193565355968,0.010000754946829,4187.927733707255,5633.697386978322,24345.955266156605,1.9362008520008136,113.579441895521,0.8882633202039897,4.716898231843966,34.49538189918642,4760.791393297852,1662.2658742439748,4077.283631519223,7.727099028241055,5103.79657934133,1979.432531188623,5387.930943359827,0.1,3681.726380137667,1056.5718965854894,3601.247714295612,2.3765736681641383,4951.309501050051,1513.855874366408,3834.4680908499,0.1000000000000001,2159.8368843037147,492.2890674928388,1883.7008261800556,0.1,250.92758608293303,127.8120065053882,332.86910119642096,0.100000000000021,303.4065134626936,165.1476093964935,340.5250230516558,14.978545623048486,3.4596735842342916,2.687710996018827
2532.3505137270145,102.06951596279214,2008.7624455630664,265.00000000000006,101.96903503533628,100.00000072320744,26.999950079827663,0.2000026804734877,0.2000000000677223,0.564708523316952,471.7895651392906,1996.491742876049,3.816719223205174,34.915238770324095,21.13717401916113,0.0152932545395174,8.020291709182986,3.4415555497190186e-18,55.08440097578244,103.67135913529,410.19237992674095,4.237789282827882,2737.523283575389,394.5619263546747,955.920823925327,20.052228186205536,2.3126272878869027,0.9933119691562948,9.03402461215734,3.164546412435856,11.891874923518396,8.129805557323705,1616.9371258594877,9.558812073999093,102.6352844322013,0.5182167158226427,1.0522779637801452,0.1701011257617471,170.30295740142287,1.0183251334761994,86.34129538731582,0.001,100.00000038634792,7.101094648554868,6.971548471225283,1195.0416549460176,0.1000364042030602,3293.9650555641347,0.1000000000001787,323.3631004722931,123.81468294813334,822.2570045749891,41.023028923639856,51.230239679645635,0.2634532201960662,11.759870396834204,1199.568681435472,2882.091840864075,11.078923852511618,1.4760872660020323,115.43627666175308,38.0722628089929,218.17529100353948,129.17743160467583,122.83973827608634,21.052118210525823,0.0363265638566936,1.6427809244200955,910.5073991263372,65.13978915332625,393.57137512674393,681.7029682756936,0.1690724321785531,25.61918127313874,980.1314364601504,51.31198025723276,0.0105855287639983,4188.276733265941,5633.697359185173,24344.44978179245,1.9362008520022065,113.57947067138666,0.8882723071199701,4.716281466040558,34.494977193837634,4760.929210525401,1662.2013661235492,4077.2836315316217,7.727099020806996,5103.937147999713,1980.0356592914784,5387.930944656759,0.1,3681.747851016831,1056.571896772442,3601.25492200596,2.376392403199081,4951.261356236723,1513.8539044637014,3834.558475341136,0.1000000000000001,2159.8514613162374,492.29314010514827,1883.6653690223768,0.1,250.9589547099793,127.8120065724941,332.86917443812695,0.1000000000000239,303.406506918718,165.11351367629018,340.52510286254034,14.97854560777884,3.4596735806517684,2.6876988119905323
2533.240704558704,102.22943936040276,2009.45130797612,265.0,101.96910205479014,100.0000000914059,26.999950124187553,0.2000015072633135,0.2000000020609023,0.5647150791450904,478.651628002966,2002.8118678275985,3.814522996684042,34.915362240847216,21.15222271236654,0.0164622242141328,8.033192365026826,1.0716127745992646e-18,55.089416822527426,103.39696471735785,410.0649200959191,4.234196501340216,2758.0020059064404,394.3388970215251,955.9726851120632,20.05220265268876,2.3130263172958205,0.9933027836625424,4.347404588354922,3.0182676762577523,11.891868128923845,8.129522083496305,1616.5591082864107,9.558890410591706,102.63496746115396,0.5172783668473546,1.0535909757528163,0.1701010862545912,179.93939041306993,1.0183246205405614,86.34340229180499,0.0675745995090381,100.00000031738976,7.1056837192107665,6.9715458545921605,1207.164888228725,0.1001088406347458,3334.887968540772,0.100000000000184,323.36343560956567,123.75019632381348,871.6662739545251,34.28660211321116,1.5118926025300432,0.5584561302567377,12.142077910136583,1206.9169236293335,2881.817366318023,0.9080895010622108,1.4760872681758674,115.43595550075538,38.073998346682,217.92291105134905,122.11523245873737,122.84184193412987,18.42774070571347,0.0361677961809468,41.201426384781094,913.2728293621354,65.15169019462455,369.5218599459046,678.9053062451449,0.1417853250826078,25.619789926304584,980.1067304745086,51.31980217136748,0.0169036138386338,4372.867256781063,5633.696351913837,24328.36973541899,1.9362008519601897,113.58435399379928,0.8885102743955655,4.754475546000004,34.60976102481326,4763.063348783179,1664.0484367726126,4077.283631965998,7.727098823392573,5110.160939439551,1983.966358879857,5387.9310290677195,0.1,3683.6847881087424,1056.571878631314,3601.750459800333,2.387044339184471,4945.665005307517,1514.0423209776418,3873.966085339194,0.1,2147.026887256952,496.2841066244314,1882.388825266964,0.1,249.92476836302976,127.8119917320155,332.9113007786481,0.1000000000000336,303.40309958791875,165.16483998548293,340.55755766863626,14.978545714487526,3.459673629911951,2.688651829222077
2533.54826827798,102.22926014389168,2009.6024699856312,265.0,101.96910378485708,100.0000000879414,26.999950123847498,0.2000015236508953,0.2000000020770457,0.5647149956829207,479.22978889784514,2003.3232045831055,3.8145239321586337,34.91537089981178,21.15301010346115,0.0163908955035361,8.033458063429475,0.0,55.089638656003046,103.38972316230353,410.0725861881232,4.234002993578959,2758.49963889917,394.3046346030211,955.9750272579954,20.05220775057633,2.3130232448971264,0.9933029986882989,4.420101650076644,3.0269651892567797,11.891866720555344,8.129518469278759,1616.5568721675045,9.558890338173471,102.6349669549273,0.5172695456460902,1.0536038728861752,0.1701010883562362,179.93439517031064,1.018324692747924,86.34775412129373,0.0672215462206636,100.00000032384897,7.105509048432224,6.971545854518961,1207.1378990520764,0.1000996307859811,3334.8329202536243,0.1000000000001839,323.36342388666066,123.7501354769714,869.6278920153129,34.22524671979673,1.042265120367139,0.6118880808976028,12.12647685382062,1206.6555669575466,2881.8110658615556,2.0767589441943826,1.476087268293201,115.43594322352344,38.073084936067566,217.9165102369612,122.04846496019972,122.84130434503054,18.39295451748131,0.0361625829778595,41.308537499832546,913.58948993697,65.15162697087337,369.4291888601745,678.6778088873835,0.1449282568806487,25.61974984385135,980.1065556008098,51.31984525296043,0.0167096719087423,4374.002372578049,5633.696292950048,24328.04894387952,1.936200851960078,113.58390549806492,0.8885568449514587,4.755585342391852,34.60826203952562,4764.895790748967,1664.2887659296316,4077.283632006617,7.727098822978875,5110.488546944169,1983.8806401796005,5387.931029227558,0.1,3683.720227977495,1056.5718782561428,3601.750524471992,2.3880269956623614,4945.695852938679,1514.0479174081863,3874.8764731078422,0.1,2147.5399174616905,496.27854402491624,1882.4780138297017,0.1,249.9207818702099,127.81199177734985,332.9059611238804,0.1000000000000334,303.4033459782361,165.227218470641,340.557360250242,14.978545716514136,3.459673629147313,2.6886389883194903
2534.2137763132732,101.6583254501131,2003.978709237866,265.0000000000001,101.96895875612272,100.00000000828496,26.999950060193814,0.2000006737853004,0.2000000000136499,0.5647028181515156,496.8864782501173,2071.8061930877884,3.809038199497039,34.916174116260116,21.12749113743006,0.0033285590018755,8.01603434221994,3.8714752090488835e-13,55.08864216468073,103.26287742033044,410.3788776092889,4.235352379824833,2819.901289250123,394.4861340512327,955.896705695699,20.052613566895506,2.3116830785038833,0.9933129983755656,4.273543330416627,2.11779317925812,11.891739134177758,8.129358421381923,1616.7052161880215,9.558870608835804,102.63487402301224,0.5205319195571729,1.052946424479356,0.170101146769167,179.72258320300696,1.0183229627493005,85.77018978032626,0.0148198945976017,100.0000000000079,7.109273169126717,6.971547386122459,1209.7130665047584,0.1005404552085659,3315.083749078094,0.1000000000001879,323.3637907884931,123.55243796414516,944.6222195772532,42.711306050790874,50.15298569882383,0.1,12.42434953110397,1217.2524636387125,2880.959499031065,5.2130083158733305,1.476087378198807,115.4363780278938,38.10044134376144,215.3834563525306,128.58210918977278,122.85079381965174,19.129189078604643,0.0367762301293087,23.05561641029787,926.352434595382,65.18643526184144,386.9668899766444,668.7164521265626,0.0584713408359961,25.614996389168297,980.1001219255722,51.310332754738134,0.0350165601994973,4212.40707260418,5633.696226745493,24345.039144689723,1.9362008521810707,113.59828779206808,0.8869554989680122,4.721940805389235,34.62900307328663,4808.1141178653825,1662.345551333995,4077.28363290103,7.727098255964367,5117.14868316966,1993.865337616004,5387.931035115694,0.1,3682.114870139,1056.5718985931069,3601.9979688059952,2.3750014396072814,4949.451890781581,1513.3330406948212,3823.1706920726624,0.1,2093.8061798425674,498.9426279230003,1876.8841803625432,0.1000000000000001,250.0782534078727,127.81199169380538,332.79879824532225,0.1000000000000237,303.4055180545795,161.55487515893788,340.51894206721084,14.978546005112598,3.4596736452642523,2.687842208819018
